epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,head-only,1.055549042963842,0.4304093567251462,0.9665546774864197,0.5603174603174603,0.0001
2,head-only,0.9053601616307309,0.5719298245614035,0.8578578233718872,0.6507936507936508,0.0001
3,head-only,0.8116285349193372,0.6652046783625731,0.7980405241250992,0.7174603174603175,0.0001
4,head-only,0.7490873085127936,0.7172514619883041,0.7749906867742539,0.7063492063492064,0.0001
5,head-only,0.6985945537773489,0.7309941520467836,0.721568176150322,0.7507936507936508,0.0001
6,fine-tune,0.2601308101799056,0.9038011695906433,0.3075785950757563,0.8476190476190476,1e-05
7,fine-tune,0.145822629506825,0.9432748538011696,0.2050070207566023,0.926984126984127,1e-05
8,fine-tune,0.14259017481964234,0.9421052631578948,0.18710746536962689,0.9333333333333333,1e-05
9,fine-tune,0.13553778504767613,0.9438596491228071,0.1818321855738759,0.9285714285714286,1e-05
10,fine-tune,0.13260149774495622,0.9441520467836257,0.19596785930916666,0.9317460317460318,1e-05
11,fine-tune,0.14462512637439526,0.9406432748538012,0.23468931149691344,0.8920634920634921,1e-05
12,fine-tune,0.1323178605465164,0.9438596491228071,0.1507282050559297,0.9349206349206349,1e-05
13,fine-tune,0.1313468286734924,0.9441520467836257,0.16248071185545995,0.9365079365079365,1e-05
14,fine-tune,0.1347388690849494,0.9441520467836257,0.15055592691060155,0.9380952380952381,1e-05
15,fine-tune,0.12840848681870956,0.9441520467836257,0.1725779652944766,0.9365079365079365,1e-05
16,fine-tune,0.13162077306742556,0.9438596491228071,0.16222426935564727,0.9301587301587302,1e-05
17,fine-tune,0.13155532279732632,0.9438596491228071,0.18536869168747216,0.9301587301587302,1e-05
18,fine-tune,0.1382548704307679,0.9400584795321637,0.15941570901777596,0.926984126984127,5e-06
19,fine-tune,0.1320569142786383,0.9435672514619883,0.1853569380939007,0.9222222222222223,5e-06
20,fine-tune,0.13020889704164706,0.9441520467836257,0.22595812724903225,0.9095238095238095,5e-06
21,fine-tune,0.13018045429772104,0.9441520467836257,0.22058321051299573,0.9158730158730158,5e-06
22,fine-tune,0.13127502356356346,0.9441520467836257,0.20411042522173375,0.9222222222222223,2.5e-06
23,fine-tune,0.1311354382693419,0.9438596491228071,0.2690092511009425,0.9079365079365079,2.5e-06
24,fine-tune,0.13056599217635848,0.9441520467836257,0.2578088644891977,0.9079365079365079,2.5e-06
25,fine-tune,0.12818901283524886,0.9441520467836257,0.19283731798641385,0.9222222222222223,2.5e-06
