train_loss,train_acc,val_loss,val_acc
1.043107693655449,0.48771929824561405,0.9659485205771431,0.46825396825396826
0.9270396189382899,0.624561403508772,0.8620224557225666,0.6968253968253968
0.8467330288468746,0.6754385964912281,0.7869635841203114,0.6793650793650794
0.7785733183922127,0.7236842105263158,0.7418699156670343,0.5936507936507937
0.7283692336221884,0.7517543859649123,0.6992144730356005,0.6301587301587301
0.3493895674483818,0.889766081871345,0.24868986530909462,0.9222222222222223
0.17380258918505664,0.9421052631578948,0.1969561669561598,0.9333333333333333
0.150868454466612,0.9421052631578948,0.168421541130732,0.9333333333333333
0.14337711680179452,0.9441520467836257,0.1665158861686313,0.9333333333333333
0.13935220045478722,0.9435672514619883,0.17738708432704683,0.9317460317460318
0.13557681631275087,0.9438596491228071,0.1679668409956826,0.9333333333333333
0.1341751046870884,0.9438596491228071,0.158718050283099,0.9333333333333333
0.13497118620496046,0.9438596491228071,0.1720221063447377,0.9317460317460318
0.1313082686293195,0.9444444444444444,0.15797782526129767,0.9349206349206349
0.13202644430580196,0.9441520467836257,0.16299066988248673,0.9349206349206349
0.1288242431934814,0.9441520467836257,0.16972766305719103,0.9317460317460318
0.12926325650330175,0.9441520467836257,0.16671597612282588,0.9317460317460318
0.12947842220813907,0.9447368421052632,0.15847571033333976,0.9333333333333333
0.12832375304740773,0.9441520467836257,0.16908067086386303,0.926984126984127
0.12598183282286102,0.9441520467836257,0.16355080292338417,0.9333333333333333
0.12485877900269994,0.9441520467836257,0.1627521741484839,0.9333333333333333
0.12553580364985772,0.9444444444444444,0.1691853734235915,0.9317460317460318
0.12421273892385917,0.9447368421052632,0.17261379460493723,0.9317460317460318
0.12347234154653829,0.9447368421052632,0.16349128186702727,0.9317460317460318
0.12185236185963391,0.9447368421052632,0.16178122744673773,0.9333333333333333
